att_D_AD_1.M35115.Oligo,att_D_AD_2.M35115.Micro,att_D_AD_2.M35594.Micro,att_D_AD_2.M35115.Oligo,att_D_AD_2.M35594.Oligo,att_D_SCZ_2.M35115.Oligo,att_D_no_prior_0.M35594.OPC,att_D_no_prior_2.M35594.OPC,att_D_AD_1,att_D_AD_2,att_D_SCZ_1,att_D_SCZ_2,att_D_no_prior_0,att_D_no_prior_1,att_D_no_prior_2,att_D_no_prior_3,_BACKGROUND
,,,,,,,,,,,,,,,,FTH1
,,,,,,,,,,,,,,,,FTL
,,,,,,,,,,,,,,,,FUBP1
,,,,,,,,,,,,,,,,FUT10
,,,,,,,,,,,,,,,,FXYD5
,,,,,,,,,,,,,,,,FYCO1
,,,,,,,,,,,,,,,,FZD6
,,,,,,,,,,,,,,,,G0S2
,,,,,,,,,,,,,,,,GAB3
,,,,,,,,,,,,,,,,GABPA
,,,,,,,,,,,,,,,,GABPB1
,,,,,,,,,,,,,,,,GABRA2
,,,,,,,,,,,,,,,,GABRE
,,,,,,,,,,,,,,,,GABRG1
,,,,,,,,,,,,,,,,GABRG3
,,,,,,,,,,,,,,,,GABRG3-AS1
,,,,,,,,,,,,,,,,GACAT3
,,,,,,,,,,,,,,,,GAD1
,,,,,,,,,,,,,,,,GAD2
,,,,,,,,,,,,,,,,GADD45A
,,,,,,,,,,,,,,,,GADD45B
,,,,,,,,,,,,,,,,GADD45G
,,,,,,,,,,,,,,,,GAL3ST1
,,,,,,,,,,,,,,,,GAL3ST4
,,,,,,,,,,,,,,,,GALM
,,,,,,,,,,,,,,,,GALNT10
,,,,,,,,,,,,,,,,GALNT14
,,,,,,,,,,,,,,,,GALNT15
,,,,,,,,,,,,,,,,GALNT18
,,,,,,,,,,,,,,,,GALNT6
,,,,,,,,,,,,,,,,GALNTL6
,,,,,,,,,,,,,,,,GALR1
,,,,,,,,,,,,,,,,GAR1
,,,,,,,,,,,,,,,,GAS1
,,,,,,,,,,,,,,,,GAS2L3
,,,,,,,,,,,,,,,,GAS6-AS1
,,,,,,,,,,,,,,,,GATA1
,,,,,,,,,,,,,,,,GATA2
,,,,,,,,,,,,,,,,GATA2-AS1
,,,,,,,,,,,,,,,,GATA3
,,,,,,,,,,,,,,,,GATA4
,,,,,,,,,,,,,,,,GATA6
,,,,,,,,,,,,,,,,GATAD1
,,,,,,,,,,,,,,,,GATAD2A
,,,,,,,,,,,,,,,,GBE1
,,,,,,,,,,,,,,,,GBP1
,,,,,,,,,,,,,,,,GBP2
,,,,,,,,,,,,,,,,GBP3
,,,,,,,,,,,,,,,,GBP4
,,,,,,,,,,,,,,,,GBX1
,,,,,,,,,,,,,,,,GCH1
,,,,,,,,,,,,,,,,GCM1
,,,,,,,,,,,,,,,,GCM2
,,,,,,,,,,,,,,,,GCNT1
,,,,,,,,,,,,,,,,GCNT2
,,,,,,,,,,,,,,,,GDNF
,,,,,,,,,,,,,,,,GDNF-AS1
,,,,,,,,,,,,,,,,GEM
,,,,,,,,,,,,,,,,GFAP
,,,,,,,,,,,,,,,,GFI1
,,,,,,,,,,,,,,,,GFI1B
,,,,,,,,,,,,,,,,GFRA1
,,,,,,,,,,,,,,,,GGT5
,,,,,,,,,,,,,,,,GHR
,,,,,,,,,,,,,,,,GIMAP2
,,,,,,,,,,,,,,,,GIMAP4
,,,,,,,,,,,,,,,,GIMAP7
,,,,,,,,,,,,,,,,GIMAP8
,,,,,,,,,,,,,,,,GINS3
,,,,,,,,,,,,,,,,GINS4
,,,,,,,,,,,,,,,,GIPR
,,,,,,,,,,,,,,,,GIT2
,,,,,,,,,,,,,,,,GJA1
,,,,,,,,,,,,,,,,GJB1
,,,,,,,,,,,,,,,,GJB6
,,,,,,,,,,,,,,,,GJC1
,,,,,,,,,,,,,,,,GJC2
,,,,,,,,,,,,,,,,GK
,,,,,,,,,,,,,,,,GLA
,,,,,,,,,,,,,,,,GLDC
,,,,,,,,,,,,,,,,GLDN
,,,,,,,,,,,,,,,,GLI1
,,,,,,,,,,,,,,,,GLI2
,,,,,,,,,,,,,,,,GLI3
,,,,,,,,,,,,,,,,GLI4
,,,,,,,,,,,,,,,,GLIPR1L1
,,,,,,,,,,,,,,,,GLIPR2
,,,,,,,,,,,,,,,,GLIS1
,,,,,,,,,,,,,,,,GLIS2
,,,,,,,,,,,,,,,,GLIS3
,,,,,,,,,,,,,,,,GLOD5
,,,,,,,,,,,,,,,,GLRA1
,,,,,,,,,,,,,,,,GLRA2
,,,,,,,,,,,,,,,,GLRX
,,,,,,,,,,,,,,,,GLUL
,,,,,,,,,,,,,,,,GLYATL1
,,,,,,,,,,,,,,,,GLYCTK
,,,,,,,,,,,,,,,,GM2A
,,,,,,,,,,,,,,,,GMEB1
,,,,,,,,,,,,,,,,GMEB2
,,,,,,,,,,,,,,,,GMFG
,,,,,,,,,,,,,,,,GMIP
,,,,,,,,,,,,,,,,GMPR
,,,,,,,,,,,,,,,,GNA13
,,,,,,,,,,,,,,,,GNA14
,,,,,,,,,,,,,,,,GNA14-AS1
,,,,,,,,,,,,,,,,GNA15
,,,,,,,,,,,,,,,,GNAL
,,,,,,,,,,,,,,,,GNB4
,,,,,,,,,,,,,,,,GNG11
,,,,,,,,,,,,,,,,GNG12
,,,,,,,,,,,,,,,,GNG12-AS1
,,,,,,,,,,,,,,,,GNG4
,,,,,,,,,,,,,,,,GNG8
,,,,,,,,,,,,,,,,GNGT1
,,,,,,,,,,,,,,,,GNLY
,,,,,,,,,,,,,,,,GOLIM4
,,,,,,,,,,,,,,,,GOT1
,,,,,,,,,,,,,,,,GPAM
,,,,,,,,,,,,,,,,GPANK1
,,,,,,,,,,,,,,,,GPAT3
,,,,,,,,,,,,,,,,GPBP1L1
,,,,,,,,,,,,,,,,GPC4
,,,,,,,,,,,,,,,,GPC5
,,,,,,,,,,,,,,,,GPC5-AS1
,,,,,,,,,,,,,,,,GPC5-AS2
,,,,,,,,,,,,,,,,GPC6
,,,,,,,,,,,,,,,,GPCPD1
,,,,,,,,,,,,,,,,GPD1
,,,,,,,,,,,,,,,,GPER1
,,,,,,,,,,,,,,,,GPIHBP1
,,,,,,,,,,,,,,,,GPM6A
,,,,,,,,,,,,,,,,GPNMB
,,,,,,,,,,,,,,,,GPR132
,,,,,,,,,,,,,,,,GPR149
,,,,,,,,,,,,,,,,GPR156
,,,,,,,,,,,,,,,,GPR160
,,,,,,,,,,,,,,,,GPR17
,,,,,,,,,,,,,,,,GPR174
,,,,,,,,,,,,,,,,GPR183
,,,,,,,,,,,,,,,,GPR34
,,,,,,,,,,,,,,,,GPR37
,,,,,,,,,,,,,,,,GPR37L1
,,,,,,,,,,,,,,,,GPR39
,,,,,,,,,,,,,,,,GPR62
,,,,,,,,,,,,,,,,GPR65
,,,,,,,,,,,,,,,,GPR85
,,,,,,,,,,,,,,,,GPRC5C
,,,,,,,,,,,,,,,,GPRIN3
,,,,,,,,,,,,,,,,GPSM3
,,,,,,,,,,,,,,,,GPX1
,,,,,,,,,,,,,,,,GPX3
,,,,,,,,,,,,,,,,GRAMD1A
,,,,,,,,,,,,,,,,GRAMD1C
,,,,,,,,,,,,,,,,GRAP2
,,,,,,,,,,,,,,,,GRAPL
,,,,,,,,,,,,,,,,GRB10
,,,,,,,,,,,,,,,,GRB2
,,,,,,,,,,,,,,,,GREB1L
,,,,,,,,,,,,,,,,GREM1
,,,,,,,,,,,,,,,,GREM2
,,,,,,,,,,,,,,,,GRHL1
,,,,,,,,,,,,,,,,GRHL2
,,,,,,,,,,,,,,,,GRHL3
,,,,,,,,,,,,,,,,GRHPR
,,,,,,,,,,,,,,,,GRIA1
,,,,,,,,,,,,,,,,GRID1-AS1
,,,,,,,,,,,,,,,,GRID2
,,,,,,,,,,,,,,,,GRIK1
,,,,,,,,,,,,,,,,GRIK2
,,,,,,,,,,,,,,,,GRIK3
,,,,,,,,,,,,,,,,GRIN2A
,,,,,,,,,,,,,,,,GRIN2C
,,,,,,,,,,,,,,,,GRIN3A
,,,,,,,,,,,,,,,,GRIP1
,,,,,,,,,,,,,,,,GRK5
,,,,,,,,,,,,,,,,GRM1
,,,,,,,,,,,,,,,,GRM3
,,,,,,,,,,,,,,,,GRM7
,,,,,,,,,,,,,,,,GRM8
,,,,,,,,,,,,,,,,GRN
,,,,,,,,,,,,,,,,GSDMD
,,,,,,,,,,,,,,,,GSG1L
,,,,,,,,,,,,,,,,GSN
,,,,,,,,,,,,,,,,GSN-AS1
,,,,,,,,,,,,,,,,GSTK1
,,,,,,,,,,,,,,,,GSTP1
,,,,,,,,,,,,,,,,GTF2A1
,,,,,,,,,,,,,,,,GTF2A2
,,,,,,,,,,,,,,,,GTF2B
,,,,,,,,,,,,,,,,GTF2F1
,,,,,,,,,,,,,,,,GTF2H3
,,,,,,,,,,,,,,,,GTF2I
,,,,,,,,,,,,,,,,GTF2IRD1
,,,,,,,,,,,,,,,,GTF3A
,,,,,,,,,,,,,,,,GTF3C2
,,,,,,,,,,,,,,,,GTF3C5
,,,,,,,,,,,,,,,,GTPBP1
,,,,,,,,,,,,,,,,GTPBP6
,,,,,,,,,,,,,,,,GULP1
,,,,,,,,,,,,,,,,GXYLT2
,,,,,,,,,,,,,,,,GYG2
,,,,,,,,,,,,,,,,GYG2P1
,,,,,,,,,,,,,,,,GYPC
,,,,,,,,,,,,,,,,GZF1
,,,,,,,,,,,,,,,,HACD1
,,,,,,,,,,,,,,,,HADHB
,,,,,,,,,,,,,,,,HAGLR
,,,,,,,,,,,,,,,,HAMP
,,,,,,,,,,,,,,,,HAP1
,,,,,,,,,,,,,,,,HAPLN2
,,,,,,,,,,,,,,,,HAS2
,,,,,,,,,,,,,,,,HAS2-AS1
,,,,,,,,,,,,,,,,HAVCR2
,,,,,,,,,,,,,,,,HBB
,,,,,,,,,,,,,,,,HBEGF
,,,,,,,,,,,,,,,,HBP1
,,,,,,,,,,,,,,,,HCFC1
,,,,,,,,,,,,,,,,HCFC2
,,,,,,,,,,,,,,,,HCG22
,,,,,,,,,,,,,,,,HCK
,,,,,,,,,,,,,,,,HCLS1
,,,,,,,,,,,,,,,,HCN1
,,,,,,,,,,,,,,,,HCP5
,,,,,,,,,,,,,,,,HCRTR2
,,,,,,,,,,,,,,,,HDAC1
,,,,,,,,,,,,,,,,HDAC2
,,,,,,,,,,,,,,,,HDAC3
,,,,,,,,,,,,,,,,HDAC9
,,,,,,,,,,,,,,,,HDDC2
,,,,,,,,,,,,,,,,HDX
,,,,,,,,,,,,,,,,HEATR5A
,,,,,,,,,,,,,,,,HEBP2
,,,,,,,,,,,,,,,,HECA
,,,,,,,,,,,,,,,,HECW1
,,,,,,,,,,,,,,,,HEG1
,,,,,,,,,,,,,,,,HELB
,,,,,,,,,,,,,,,,HELZ2
,,,,,,,,,,,,,,,,HEPH
,,,,,,,,,,,,,,,,HEPN1
,,,,,,,,,,,,,,,,HERC2P2
,,,,,,,,,,,,,,,,HERC2P3
,,,,,,,,,,,,,,,,HERC2P9
,,,,,,,,,,,,,,,,HERC5
,,,,,,,,,,,,,,,,HERPUD1
,,,,,,,,,,,,,,,,HES1
,,,,,,,,,,,,,,,,HES2
,,,,,,,,,,,,,,,,HES4
,,,,,,,,,,,,,,,,HES5
,,,,,,,,,,,,,,,,HES6
,,,,,,,,,,,,,,,,HES7
,,,,,,,,,,,,,,,,HESX1
,,,,,,,,,,,,,,,,HEY1
,,,,,,,,,,,,,,,,HEY2
,,,,,,,,,,,,,,,,HEYL
,,,,,,,,,,,,,,,,HFE
,,,,,,,,,,,,,,,,HGF
,,,,,,,,,,,,,,,,HHAT
,,,,,,,,,,,,,,,,HHEX
,,,,,,,,,,,,,,,,HHIP
,,,,,,,,,,,,,,,,HIC1
,,,,,,,,,,,,,,,,HIC2
,,,,,,,,,,,,,,,,HIF1A
,,,,,,,,,,,,,,,,HIF3A
,,,,,,,,,,,,,,,,HIGD1B
,,,,,,,,,,,,,,,,HINFP
,,,,,,,,,,,,,,,,HIP1
,,,,,,,,,,,,,,,,HIRIP3
,,,,,,,,,,,,,,,,HIVEP1
,,,,,,,,,,,,,,,,HIVEP2
,,,,,,,,,,,,,,,,HIVEP3
,,,,,,,,,,,,,,,,HK2
,,,,,,,,,,,,,,,,HKDC1
,,,,,,,,,,,,,,,,HLA-A
,,,,,,,,,,,,,,,,HLA-B
,,,,,,,,,,,,,,,,HLA-DMB
,,,,,,,,,,,,,,,,HLA-DPA1
,,,,,,,,,,,,,,,,HLA-DPB1
,,,,,,,,,,,,,,,,HLA-DQA1
,,,,,,,,,,,,,,,,HLA-DQB1
,,,,,,,,,,,,,,,,HLA-DRA
,,,,,,,,,,,,,,,,HLA-DRB1
,,,,,,,,,,,,,,,,HLA-DRB5
,,,,,,,,,,,,,,,,HLA-E
,,,,,,,,,,,,,,,,HLA-F
,,,,,,,,,,,,,,,,HLCS
,,,,,,,,,,,,,,,,HLF
,,,,,,,,,,,,,,,,HLTF
,,,,,,,,,,,,,,,,HLX
,,,,,,,,,,,,,,,,HLX-AS1
,,,,,,,,,,,,,,,,HMBOX1
,,,,,,,,,,,,,,,,HMCN1
,,,,,,,,,,,,,,,,HMG20A
,,,,,,,,,,,,,,,,HMG20B
,,,,,,,,,,,,,,,,HMGA1
,,,,,,,,,,,,,,,,HMGA2
,,,,,,,,,,,,,,,,HMGB1
,,,,,,,,,,,,,,,,HMGB2
,,,,,,,,,,,,,,,,HMGB3
,,,,,,,,,,,,,,,,HMGB4
,,,,,,,,,,,,,,,,HMGCS1
,,,,,,,,,,,,,,,,HMGN2P46
,,,,,,,,,,,,,,,,HMGXB3
,,,,,,,,,,,,,,,,HMGXB4
,,,,,,,,,,,,,,,,HMOX1
,,,,,,,,,,,,,,,,HMSD
,,,,,,,,,,,,,,,,HMX1
,,,,,,,,,,,,,,,,HNF1A
,,,,,,,,,,,,,,,,HNF1B
,,,,,,,,,,,,,,,,HNF4A
,,,,,,,,,,,,,,,,HNF4G
,,,,,,,,,,,,,,,,HNMT
,,,,,,,,,,,,,,,,HNRNPA0
,,,,,,,,,,,,,,,,HNRNPC
,,,,,,,,,,,,,,,,HNRNPH3
,,,,,,,,,,,,,,,,HNRNPKP3
,,,,,,,,,,,,,,,,HNRNPLL
,,,,,,,,,,,,,,,,HNRNPUL1
,,,,,,,,,,,,,,,,HOMER1
,,,,,,,,,,,,,,,,HOMEZ
,,,,,,,,,,,,,,,,HOXB3
,,,,,,,,,,,,,,,,HOXC4
,,,,,,,,,,,,,,,,HOXD1
,,,,,,,,,,,,,,,,HOXD3
,,,,,,,,,,,,,,,,HP1BP3
,,,,,,,,,,,,,,,,HPGD
,,,,,,,,,,,,,,,,HPGDS
,,,,,,,,,,,,,,,,HPN
,,,,,,,,,,,,,,,,HPN-AS1
,,,,,,,,,,,,,,,,HPS3
,,,,,,,,,,,,,,,,HPSE
,,,,,,,,,,,,,,,,HPSE2
,,,,,,,,,,,,,,,,HRH1
,,,,,,,,,,,,,,,,HS3ST2
,,,,,,,,,,,,,,,,HS3ST3A1
,,,,,,,,,,,,,,,,HS3ST3B1
,,,,,,,,,,,,,,,,HS3ST4
,,,,,,,,,,,,,,,,HS3ST5
,,,,,,,,,,,,,,,,HS6ST2
,,,,,,,,,,,,,,,,HS6ST3
,,,,,,,,,,,,,,,,HSD11B1
,,,,,,,,,,,,,,,,HSF1
,,,,,,,,,,,,,,,,HSF2
,,,,,,,,,,,,,,,,HSF4
,,,,,,,,,,,,,,,,HSF5
,,,,,,,,,,,,,,,,HSFY2
,,,,,,,,,,,,,,,,HSP90AA1
,,,,,,,,,,,,,,,,HSPA12B
,,,,,,,,,,,,,,,,HSPA1A
,,,,,,,,,,,,,,,,HSPA1L
,,,,,,,,,,,,,,,,HSPA2
,,,,,,,,,,,,,,,,HSPA5
,,,,,,,,,,,,,,,,HSPB1
,,,,,,,,,,,,,,,,HSPB8
,,,,,,,,,,,,,,,,HSPBAP1
,,,,,,,,,,,,,,,,HSPD1
,,,,,,,,,,,,,,,,HSPE1-MOB4
,,,,,,,,,,,,,,,,HSPG2
,,,,,,,,,,,,,,,,HSPH1
,,,,,,,,,,,,,,,,HTATIP2
,,,,,,,,,,,,,,,,HTR1E
,,,,,,,,,,,,,,,,HTR1F
,,,,,,,,,,,,,,,,HTR2B
,,,,,,,,,,,,,,,,HTR2C
,,,,,,,,,,,,,,,,HTR4
,,,,,,,,,,,,,,,,HTR7
,,,,,,,,,,,,,,,,HULC
,,,,,,,,,,,,,,,,HUNK
,,,,,,,,,,,,,,,,HYAL2
,,,,,,,,,,,,,,,,ICAM1
,,,,,,,,,,,,,,,,ICAM2
,,,,,,,,,,,,,,,,ICOSLG
,,,,,,,,,,,,,,,,ID1
,,,,,,,,,,,,,,,,ID2
,,,,,,,,,,,,,,,,ID3
,,,,,,,,,,,,,,,,ID4
,,,,,,,,,,,,,,,,IDI1
,,,,,,,,,,,,,,,,IDI2-AS1
,,,,,,,,,,,,,,,,IER2
,,,,,,,,,,,,,,,,IER3
,,,,,,,,,,,,,,,,IER5
,,,,,,,,,,,,,,,,IFI16
,,,,,,,,,,,,,,,,IFI27L2
,,,,,,,,,,,,,,,,IFI44
,,,,,,,,,,,,,,,,IFI44L
,,,,,,,,,,,,,,,,IFIH1
,,,,,,,,,,,,,,,,IFIT2
,,,,,,,,,,,,,,,,IFIT3
,,,,,,,,,,,,,,,,IFITM3
,,,,,,,,,,,,,,,,IFNG-AS1
,,,,,,,,,,,,,,,,IFNGR1
,,,,,,,,,,,,,,,,IFNLR1
,,,,,,,,,,,,,,,,IFRD1
,,,,,,,,,,,,,,,,IGF1
,,,,,,,,,,,,,,,,IGF2BP2
,,,,,,,,,,,,,,,,IGFBP2
,,,,,,,,,,,,,,,,IGFBP3
,,,,,,,,,,,,,,,,IGFBP4
,,,,,,,,,,,,,,,,IGFBP5
,,,,,,,,,,,,,,,,IGFBP6
,,,,,,,,,,,,,,,,IGFBP7
,,,,,,,,,,,,,,,,IGFN1
,,,,,,,,,,,,,,,,IGSF1
,,,,,,,,,,,,,,,,IGSF11-AS1
,,,,,,,,,,,,,,,,IGSF21
,,,,,,,,,,,,,,,,IGSF6
,,,,,,,,,,,,,,,,IKBIP
,,,,,,,,,,,,,,,,IKBKE
,,,,,,,,,,,,,,,,IKZF1
,,,,,,,,,,,,,,,,IKZF2
,,,,,,,,,,,,,,,,IKZF3
,,,,,,,,,,,,,,,,IKZF4
,,,,,,,,,,,,,,,,IKZF5
,,,,,,,,,,,,,,,,IL10RA
,,,,,,,,,,,,,,,,IL12RB2
,,,,,,,,,,,,,,,,IL13RA1
,,,,,,,,,,,,,,,,IL15
,,,,,,,,,,,,,,,,IL15RA
,,,,,,,,,,,,,,,,IL16
,,,,,,,,,,,,,,,,IL17RA
,,,,,,,,,,,,,,,,IL18
,,,,,,,,,,,,,,,,IL18R1
,,,,,,,,,,,,,,,,IL1B
,,,,,,,,,,,,,,,,IL1R1
,,,,,,,,,,,,,,,,IL1RAP
,,,,,,,,,,,,,,,,IL1RAPL2
,,,,,,,,,,,,,,,,IL21
,,,,,,,,,,,,,,,,IL21R
,,,,,,,,,,,,,,,,IL24
,,,,,,,,,,,,,,,,IL26
,,,,,,,,,,,,,,,,IL33
,,,,,,,,,,,,,,,,IL4R
,,,,,,,,,,,,,,,,IL6R
,,,,,,,,,,,,,,,,IL6ST
,,,,,,,,,,,,,,,,ILF2
,,,,,,,,,,,,,,,,ILF3
,,,,,,,,,,,,,,,,ING3
,,,,,,,,,,,,,,,,ING4
,,,,,,,,,,,,,,,,INHBA
,,,,,,,,,,,,,,,,INPP4B
,,,,,,,,,,,,,,,,INPP5D
,,,,,,,,,,,,,,,,INPPL1
,,,,,,,,,,,,,,,,INSC
,,,,,,,,,,,,,,,,INSIG1
,,,,,,,,,,,,,,,,INSM1
,,,,,,,,,,,,,,,,INSM2
,,,,,,,,,,,,,,,,IP6K3
,,,,,,,,,,,,,,,,IPO13
,,,,,,,,,,,,,,,,IPO9-AS1
,,,,,,,,,,,,,,,,IQCA1
,,,,,,,,,,,,,,,,IQCH
,,,,,,,,,,,,,,,,IQCH-AS1
,,,,,,,,,,,,,,,,IQCJ-SCHIP1
,,,,,,,,,,,,,,,,IQGAP1
,,,,,,,,,,,,,,,,IQGAP2
,,,,,,,,,,,,,,,,IRAK2
,,,,,,,,,,,,,,,,IRAK3
,,,,,,,,,,,,,,,,IRAK4
,,,,,,,,,,,,,,,,IRF1
,,,,,,,,,,,,,,,,IRF2
,,,,,,,,,,,,,,,,IRF3
,,,,,,,,,,,,,,,,IRF4
,,,,,,,,,,,,,,,,IRF5
,,,,,,,,,,,,,,,,IRF6
,,,,,,,,,,,,,,,,IRF7
,,,,,,,,,,,,,,,,IRF8
,,,,,,,,,,,,,,,,IRF9
,,,,,,,,,,,,,,,,IRGM
,,,,,,,,,,,,,,,,IRX2
,,,,,,,,,,,,,,,,IRX4
,,,,,,,,,,,,,,,,IRX6
,,,,,,,,,,,,,,,,ISG15
,,,,,,,,,,,,,,,,ISG20
,,,,,,,,,,,,,,,,ISL2
,,,,,,,,,,,,,,,,ISM1
,,,,,,,,,,,,,,,,ISOC1
,,,,,,,,,,,,,,,,ISYNA1
,,,,,,,,,,,,,,,,ITGA1
,,,,,,,,,,,,,,,,ITGA10
,,,,,,,,,,,,,,,,ITGA11
,,,,,,,,,,,,,,,,ITGA2
,,,,,,,,,,,,,,,,ITGA4
,,,,,,,,,,,,,,,,ITGA5
,,,,,,,,,,,,,,,,ITGA6
,,,,,,,,,,,,,,,,ITGA7
,,,,,,,,,,,,,,,,ITGA8
,,,,,,,,,,,,,,,,ITGAL
,,,,,,,,,,,,,,,,ITGAM
,,,,,,,,,,,,,,,,ITGAX
,,,,,,,,,,,,,,,,ITGB2
,,,,,,,,,,,,,,,,ITGB2-AS1
,,,,,,,,,,,,,,,,ITGB4
,,,,,,,,,,,,,,,,ITGB5
,,,,,,,,,,,,,,,,ITGBL1
,,,,,,,,,,,,,,,,ITIH5
,,,,,,,,,,,,,,,,ITK
,,,,,,,,,,,,,,,,ITM2A
,,,,,,,,,,,,,,,,ITPKB
,,,,,,,,,,,,,,,,ITPKC
,,,,,,,,,,,,,,,,ITPR2
,,,,,,,,,,,,,,,,ITPR3
,,,,,,,,,,,,,,,,ITPRIP
,,,,,,,,,,,,,,,,IVD
,,,,,,,,,,,,,,,,IZUMO4
,,,,,,,,,,,,,,,,JADE3
,,,,,,,,,,,,,,,,JAG1
,,,,,,,,,,,,,,,,JAK3
,,,,,,,,,,,,,,,,JAM2
,,,,,,,,,,,,,,,,JAZF1
,,,,,,,,,,,,,,,,JDP2
,,,,,,,,,,,,,,,,JOSD2
,,,,,,,,,,,,,,,,JPH2
,,,,,,,,,,,,,,,,JRK
,,,,,,,,,,,,,,,,JRKL
,,,,,,,,,,,,,,,,JUN
,,,,,,,,,,,,,,,,JUNB
,,,,,,,,,,,,,,,,JUND
,,,,,,,,,,,,,,,,JUP
,,,,,,,,,,,,,,,,KANK1
,,,,,,,,,,,,,,,,KANK2
,,,,,,,,,,,,,,,,KANK3
,,,,,,,,,,,,,,,,KANK4
,,,,,,,,,,,,,,,,KAT2B
,,,,,,,,,,,,,,,,KAT7
,,,,,,,,,,,,,,,,KAZN
,,,,,,,,,,,,,,,,KBTBD12
,,,,,,,,,,,,,,,,KC6
,,,,,,,,,,,,,,,,KCNAB1
,,,,,,,,,,,,,,,,KCNAB1-AS2
,,,,,,,,,,,,,,,,KCNB2
,,,,,,,,,,,,,,,,KCNC2
,,,,,,,,,,,,,,,,KCND2
,,,,,,,,,,,,,,,,KCNE1
,,,,,,,,,,,,,,,,KCNE3
,,,,,,,,,,,,,,,,KCNE4
,,,,,,,,,,,,,,,,KCNH5
,,,,,,,,,,,,,,,,KCNH7
,,,,,,,,,,,,,,,,KCNH8
,,,,,,,,,,,,,,,,KCNIP1
,,,,,,,,,,,,,,,,KCNJ16
,,,,,,,,,,,,,,,,KCNJ2
,,,,,,,,,,,,,,,,KCNJ2-AS1
,,,,,,,,,,,,,,,,KCNJ5
,,,,,,,,,,,,,,,,KCNJ8
,,,,,,,,,,,,,,,,KCNK13
,,,,,,,,,,,,,,,,KCNK2
,,,,,,,,,,,,,,,,KCNK6
,,,,,,,,,,,,,,,,KCNMB1
,,,,,,,,,,,,,,,,KCNMB2
,,,,,,,,,,,,,,,,KCNMB2-AS1
,,,,,,,,,,,,,,,,KCNMB4
,,,,,,,,,,,,,,,,KCNN3
,,,,,,,,,,,,,,,,KCNQ1
,,,,,,,,,,,,,,,,KCNQ1OT1
,,,,,,,,,,,,,,,,KCNQ3
,,,,,,,,,,,,,,,,KCNQ5
,,,,,,,,,,,,,,,,KCNS3
,,,,,,,,,,,,,,,,KCNT2
,,,,,,,,,,,,,,,,KCTD12
,,,,,,,,,,,,,,,,KCTD16
,,,,,,,,,,,,,,,,KCTD4
,,,,,,,,,,,,,,,,KCTD8
,,,,,,,,,,,,,,,,KCTD9
,,,,,,,,,,,,,,,,KDM2A
,,,,,,,,,,,,,,,,KDM2B
,,,,,,,,,,,,,,,,KDM4A-AS1
,,,,,,,,,,,,,,,,KDM4B
,,,,,,,,,,,,,,,,KDM4C
,,,,,,,,,,,,,,,,KDM4D
,,,,,,,,,,,,,,,,KDM5A
,,,,,,,,,,,,,,,,KDM5D
,,,,,,,,,,,,,,,,KDM7A
,,,,,,,,,,,,,,,,KDR
,,,,,,,,,,,,,,,,KEL
,,,,,,,,,,,,,,,,KHDRBS2
,,,,,,,,,,,,,,,,KHDRBS3
,,,,,,,,,,,,,,,,KIAA0040
,,,,,,,,,,,,,,,,KIAA1217
,,,,,,,,,,,,,,,,KIAA1755
,,,,,,,,,,,,,,,,KIF13B
,,,,,,,,,,,,,,,,KIF19
,,,,,,,,,,,,,,,,KIF20B
,,,,,,,,,,,,,,,,KIF22
,,,,,,,,,,,,,,,,KIF26B
,,,,,,,,,,,,,,,,KIF6
,,,,,,,,,,,,,,,,KIT
,,,,,,,,,,,,,,,,KITLG
,,,,,,,,,,,,,,,,KIZ-AS1
,,,,,,,,,,,,,,,,KLF10
,,,,,,,,,,,,,,,,KLF11
,,,,,,,,,,,,,,,,KLF12
,,,,,,,,,,,,,,,,KLF13
,,,,,,,,,,,,,,,,KLF15
,,,,,,,,,,,,,,,,KLF16
,,,,,,,,,,,,,,,,KLF17
,,,,,,,,,,,,,,,,KLF2
,,,,,,,,,,,,,,,,KLF3
,,,,,,,,,,,,,,,,KLF4
,,,,,,,,,,,,,,,,KLF5
,,,,,,,,,,,,,,,,KLF6
,,,,,,,,,,,,,,,,KLF7
,,,,,,,,,,,,,,,,KLF8
,,,,,,,,,,,,,,,,KLF9
,,,,,,,,,,,,,,,,KLHL1
,,,,,,,,,,,,,,,,KLHL13
,,,,,,,,,,,,,,,,KLHL4
,,,,,,,,,,,,,,,,KLHL6
,,,,,,,,,,,,,,,,KLHL6-AS1
,,,,,,,,,,,,,,,,KLK6
,,,,,,,,,,,,,,,,KLRC4-KLRK1
,,,,,,,,,,,,,,,,KLRD1
,,,,,,,,,,,,,,,,KLRG1
,,,,,,,,,,,,,,,,KMO
,,,,,,,,,,,,,,,,KMT2A
,,,,,,,,,,,,,,,,KMT2B
,,,,,,,,,,,,,,,,KNOP1
,,,,,,,,,,,,,,,,KREMEN1
,,,,,,,,,,,,,,,,KYNU
,,,,,,,,,,,,,,,,L3MBTL4-AS1
,,,,,,,,,,,,,,,,LACC1
,,,,,,,,,,,,,,,,LACTB2
,,,,,,,,,,,,,,,,LAIR1
,,,,,,,,,,,,,,,,LAMA1
,,,,,,,,,,,,,,,,LAMA2
,,,,,,,,,,,,,,,,LAMA3
,,,,,,,,,,,,,,,,LAMA4
,,,,,,,,,,,,,,,,LAMB1
